spelling,count,looks_polish,locations
Doctorem,2,False,0057.JPG.parsed.txt:15; 0058.JPG.parsed.txt:2
Doctoris,1,False,0057.JPG.parsed.txt:31
Doliator,1,False,0005.JPG.parsed.txt:15
Doliatore,1,False,0007.JPG.parsed.txt:31
Domaszewski,1,True,0052.JPG.parsed.txt:25
Dominicam,2,False,0050.JPG.parsed.txt:10; 0063.JPG.parsed.txt:23
Donatores,1,False,0060.JPG.parsed.txt:38
Drzwowka,1,True,0060.JPG.parsed.txt:31
Durschurzciborowa,1,True,0059.JPG.parsed.txt:1
Działo,1,True,0065.JPG.parsed.txt:21
Ecclesia,1,False,0063.JPG.parsed.txt:25
Ecclesiae,2,False,0059.JPG.parsed.txt:14; 0059.JPG.parsed.txt:34
Erasmum,1,False,0054.JPG.parsed.txt:2
Erictae,1,False,0055.JPG.parsed.txt:12
Evangelistae,1,False,0049.JPG.parsed.txt:8
Excellens,1,False,0057.JPG.parsed.txt:35
Excellentem,1,False,0057.JPG.parsed.txt:14
Executorium,1,False,0006.JPG.parsed.txt:24
Exposito,2,False,0055.JPG.parsed.txt:30; 0058.JPG.parsed.txt:29
Extracto,1,False,0061.JPG.parsed.txt:1
Extrait,1,False,0066.JPG.parsed.txt:19
Fabrum,1,False,0067.JPG.parsed.txt:8
Factorum,1,False,0053.JPG.parsed.txt:16
Fameturum,1,False,0006.JPG.parsed.txt:31
Fassi,1,False,0050.JPG.parsed.txt:32
Fatendo,2,False,0055.JPG.parsed.txt:6; 0057.JPG.parsed.txt:7
Fideilium,1,False,0057.JPG.parsed.txt:20
Filiae,1,False,0052.JPG.parsed.txt:28
Fiolettoli,1,False,0068.JPG.parsed.txt:29
Flambowa,2,False,0067.JPG.parsed.txt:29; 0067.JPG.parsed.txt:31
Flamel,1,False,0067.JPG.parsed.txt:27
Florenenses,1,False,0065.JPG.parsed.txt:10
Frackowic,2,False,0051.JPG.parsed.txt:39; 0052.JPG.parsed.txt:22
Francisca,1,False,0063.JPG.parsed.txt:25
Francisci,2,False,0061.JPG.parsed.txt:27; 0063.JPG.parsed.txt:30
Francisco,1,False,0003.JPG.parsed.txt:13
Franciszkańskim,2,True,0064.JPG.parsed.txt:8; 0064.JPG.parsed.txt:9
Fratris,2,False,0063.JPG.parsed.txt:11; 0063.JPG.parsed.txt:29
Fratrum,1,False,0061.JPG.parsed.txt:26
Frentificem,1,False,0064.JPG.parsed.txt:23
Fridericus,1,False,0051.JPG.parsed.txt:36
Furtkowi,1,False,0069.JPG.parsed.txt:24
Furtna,1,False,0054.JPG.parsed.txt:21
Gabrieli,1,False,0061.JPG.parsed.txt:29
Gallus,1,False,0051.JPG.parsed.txt:36
Garwolin,1,False,0057.JPG.parsed.txt:34
Gasparem,1,False,0007.JPG.parsed.txt:3
Gasparum,1,False,0063.JPG.parsed.txt:32
Gavrilam,1,False,0065.JPG.parsed.txt:10
Gawriła,1,True,0066.JPG.parsed.txt:6
Gawriłem,1,True,0066.JPG.parsed.txt:10
Gawriło,1,True,0065.JPG.parsed.txt:25
Gedanensibus,1,False,0054.JPG.parsed.txt:36
Generosi,1,False,0065.JPG.parsed.txt:7
Generoso,2,False,0051.JPG.parsed.txt:23; 0065.JPG.parsed.txt:8
Georgii,2,False,0051.JPG.parsed.txt:9; 0057.JPG.parsed.txt:34
Georgij,1,False,0061.JPG.parsed.txt:29
Georgio,2,False,0057.JPG.parsed.txt:38; 0062.JPG.parsed.txt:17
Georgium,2,False,0056.JPG.parsed.txt:4; 0058.JPG.parsed.txt:14
Glogovy,1,False,0007.JPG.parsed.txt:1
Gutterowscza,1,True,0056.JPG.parsed.txt:36
Habituros,1,False,0063.JPG.parsed.txt:18
Haereditatem,1,False,0063.JPG.parsed.txt:12
Halicien,1,False,0052.JPG.parsed.txt:5
Haliciensi,1,False,0054.JPG.parsed.txt:32
Hausnowska,1,False,0059.JPG.parsed.txt:28
Hedvigis,1,False,0051.JPG.parsed.txt:16
Hereditariae,1,False,0055.JPG.parsed.txt:25
Hereditarii,1,False,0055.JPG.parsed.txt:7
Hereditatem,2,False,0055.JPG.parsed.txt:16; 0058.JPG.parsed.txt:24
Hieronim,1,False,0064.JPG.parsed.txt:4
Hieronymi,1,False,0063.JPG.parsed.txt:30
Hospitalari,1,False,0068.JPG.parsed.txt:37
Hospitale,1,False,0068.JPG.parsed.txt:38
Hospitali,1,False,0067.JPG.parsed.txt:28
Hospodar,1,False,0065.JPG.parsed.txt:38
Hubicki,1,False,0006.JPG.parsed.txt:38
INCLYTA,1,False,0004.JPG.parsed.txt:4
Iaslowiecki,1,False,0057.JPG.parsed.txt:6
Ierziolko,1,True,0057.JPG.parsed.txt:6
Illustris,2,False,0067.JPG.parsed.txt:3; 0067.JPG.parsed.txt:25
Infantulum,1,False,0062.JPG.parsed.txt:30
Infidelem,1,False,0066.JPG.parsed.txt:22
Ingenui,1,False,0051.JPG.parsed.txt:21
Institoris,1,False,0062.JPG.parsed.txt:7
Interessatos,1,False,0053.JPG.parsed.txt:1
Inuocauit,1,False,0067.JPG.parsed.txt:21
Invocavit,1,False,0063.JPG.parsed.txt:23
Iudaeum,2,False,0054.JPG.parsed.txt:1; 0054.JPG.parsed.txt:10
Iudicatorum,1,False,0052.JPG.parsed.txt:34
Iudicium,1,False,0057.JPG.parsed.txt:39
Izbiczky,1,True,0069.JPG.parsed.txt:20
Izdebka,1,False,0069.JPG.parsed.txt:30
Jakub,2,False,0005.JPG.parsed.txt:26; 0066.JPG.parsed.txt:18
Jakuba,1,False,0065.JPG.parsed.txt:22
Janaiowska,1,False,0060.JPG.parsed.txt:27
Januczewska,1,True,0059.JPG.parsed.txt:27
Jaromba,1,False,0061.JPG.parsed.txt:34
Jaroslaviensi,1,False,0049.JPG.parsed.txt:11
Jasiech,1,False,0066.JPG.parsed.txt:14
Jaslowiecki,1,False,0056.JPG.parsed.txt:30
Jasłowiecz,1,True,0056.JPG.parsed.txt:38
Jbatouio,1,False,0061.JPG.parsed.txt:26
Jedembeg,1,False,0066.JPG.parsed.txt:29
Jedembek,1,False,0066.JPG.parsed.txt:23
Jelonek,1,False,0054.JPG.parsed.txt:2
Jendrzei,1,True,0006.JPG.parsed.txt:15
Jeorowi,1,False,0065.JPG.parsed.txt:27
Jerfeidum,1,False,0054.JPG.parsed.txt:9
Jesienoro,1,False,0065.JPG.parsed.txt:5
Jesienowie,1,False,0065.JPG.parsed.txt:21
Jesmy,1,False,0066.JPG.parsed.txt:31
Joens,1,False,0054.JPG.parsed.txt:7
Jozefowicz,1,True,0054.JPG.parsed.txt:33
Jucores,1,False,0068.JPG.parsed.txt:26
Judaeo,1,False,0053.JPG.parsed.txt:36
Judeum,1,False,0066.JPG.parsed.txt:22
Judeus,2,False,0066.JPG.parsed.txt:29; 0066.JPG.parsed.txt:37
July,1,False,0066.JPG.parsed.txt:14
Karszycki,1,True,0058.JPG.parsed.txt:15
Kierscie,2,False,0065.JPG.parsed.txt:27; 0065.JPG.parsed.txt:31
Kiersta,2,False,0065.JPG.parsed.txt:8; 0065.JPG.parsed.txt:13
Kinost,1,False,0064.JPG.parsed.txt:22
Kiriak,1,False,0065.JPG.parsed.txt:24
Klinczowska,1,True,0049.JPG.parsed.txt:18
Koconiecki,1,False,0065.JPG.parsed.txt:7
Koczonieckiego,1,True,0065.JPG.parsed.txt:23
Kolecowic,1,False,0055.JPG.parsed.txt:27
Komorka,1,False,0069.JPG.parsed.txt:31
Konescoff,1,False,0049.JPG.parsed.txt:2
Kowalicki,1,False,0066.JPG.parsed.txt:18
Kraizorowska,1,False,0056.JPG.parsed.txt:36
Krawiec,1,False,0069.JPG.parsed.txt:25
Krzuchuly,1,True,0007.JPG.parsed.txt:21
Krzychuly,1,True,0007.JPG.parsed.txt:31
Laetare,1,False,0050.JPG.parsed.txt:10
Lagiewnicki,1,False,0053.JPG.parsed.txt:29
Lanionem,1,False,0052.JPG.parsed.txt:29
Laurentii,1,False,0057.JPG.parsed.txt:2
Legofetowi,1,False,0065.JPG.parsed.txt:27
Lenowiczkj,2,True,0051.JPG.parsed.txt:17; 0051.JPG.parsed.txt:22
Lewicki,2,False,0053.JPG.parsed.txt:2; 0053.JPG.parsed.txt:17
Lewiczkj,1,True,0051.JPG.parsed.txt:28
Lewszu,1,True,0060.JPG.parsed.txt:30
Librech,1,False,0067.JPG.parsed.txt:2
Librkowa,1,False,0067.JPG.parsed.txt:1
Liczkowska,1,True,0060.JPG.parsed.txt:26
Linetzky,1,False,0054.JPG.parsed.txt:34
Liście,1,True,0066.JPG.parsed.txt:35
Logofet,1,False,0066.JPG.parsed.txt:2
Logofeta,1,False,0066.JPG.parsed.txt:11
Logofetowi,1,False,0066.JPG.parsed.txt:8
Lowicki,1,False,0068.JPG.parsed.txt:9
Lubloviensi,1,False,0054.JPG.parsed.txt:34
Ludouici,1,False,0058.JPG.parsed.txt:15
Ludovici,1,False,0058.JPG.parsed.txt:6
Lwowscy,1,False,0066.JPG.parsed.txt:16
Lwowskiego,1,False,0066.JPG.parsed.txt:4
MADROWICZ,1,True,0003.JPG.parsed.txt:15
Magistratus,1,False,0057.JPG.parsed.txt:22
Maiestatis,2,False,0049.JPG.parsed.txt:31; 0064.JPG.parsed.txt:19
Maioris,2,False,0049.JPG.parsed.txt:16; 0056.JPG.parsed.txt:19
Margareta,1,False,0064.JPG.parsed.txt:17
Margaretha,1,False,0067.JPG.parsed.txt:1
Margarethae,2,False,0052.JPG.parsed.txt:34; 0054.JPG.parsed.txt:28
Martinus,1,False,0068.JPG.parsed.txt:30
Martyris,1,False,0050.JPG.parsed.txt:24
Marzimion,1,True,0061.JPG.parsed.txt:37
Masanc,1,False,0006.JPG.parsed.txt:17
Mathaei,1,False,0049.JPG.parsed.txt:7
Mathias,1,False,0006.JPG.parsed.txt:18
Medicinae,2,False,0057.JPG.parsed.txt:15; 0057.JPG.parsed.txt:36
Meliorem,1,False,0060.JPG.parsed.txt:13
Mercator,2,False,0056.JPG.parsed.txt:33; 0065.JPG.parsed.txt:3
Metropoli,1,False,0059.JPG.parsed.txt:34
Miasta,1,False,0006.JPG.parsed.txt:10
Mieszczanie,1,True,0066.JPG.parsed.txt:16
Mieszczanina,1,True,0066.JPG.parsed.txt:4
Mieszkowski,2,True,0003.JPG.parsed.txt:10; 0063.JPG.parsed.txt:28
Millesimo,1,False,0005.JPG.parsed.txt:3
Moratoriis,1,False,0049.JPG.parsed.txt:29
Moryskawiankę,1,True,0064.JPG.parsed.txt:5
Moskionem,1,False,0054.JPG.parsed.txt:10
Mosszkanem,1,True,0007.JPG.parsed.txt:13
Moszkone,1,True,0007.JPG.parsed.txt:10
Mozanc,1,False,0005.JPG.parsed.txt:10
Mołdawiani,1,True,0066.JPG.parsed.txt:17
Mołdawskiey,1,True,0066.JPG.parsed.txt:1
Nastasiam,1,False,0057.JPG.parsed.txt:38
Nativitate,1,False,0059.JPG.parsed.txt:25
Negotiatori,1,False,0049.JPG.parsed.txt:3
Nico,1,False,0056.JPG.parsed.txt:37
Nippolitus,1,False,0058.JPG.parsed.txt:6
Notarii,1,False,0052.JPG.parsed.txt:27
Notario,1,False,0053.JPG.parsed.txt:6
Notarium,1,False,0057.JPG.parsed.txt:17
Nouicampiano,1,False,0003.JPG.parsed.txt:9
Nouitiorum,1,False,0062.JPG.parsed.txt:36
Obseruantia,1,False,0061.JPG.parsed.txt:27
Offi,1,False,0060.JPG.parsed.txt:43
Officiale,1,False,0064.JPG.parsed.txt:13
Olexa,1,False,0050.JPG.parsed.txt:8
Opatouien,1,False,0061.JPG.parsed.txt:30
Ordinatione,1,False,0060.JPG.parsed.txt:18
Osmol,1,False,0059.JPG.parsed.txt:11
Palatino,2,False,0065.JPG.parsed.txt:9; 0065.JPG.parsed.txt:12
Panskiej,1,False,0005.JPG.parsed.txt:28
Paproc,1,False,0068.JPG.parsed.txt:15
Parocho,1,False,0054.JPG.parsed.txt:35
Paulina,1,False,0060.JPG.parsed.txt:2
Paulo,1,False,0003.JPG.parsed.txt:9
Pediano,1,False,0003.JPG.parsed.txt:11
Pellionem,1,False,0053.JPG.parsed.txt:28
Perfido,1,False,0007.JPG.parsed.txt:10
Pieczęć,1,True,0066.JPG.parsed.txt:13
Pisan,1,False,0066.JPG.parsed.txt:14
Pleni,1,False,0058.JPG.parsed.txt:27
Plenipo,1,False,0053.JPG.parsed.txt:18
Podstarościc,1,True,0066.JPG.parsed.txt:18
Podstarościego,1,True,0065.JPG.parsed.txt:23
Pokazywali,1,False,0065.JPG.parsed.txt:30
Porro,2,False,0049.JPG.parsed.txt:31; 0061.JPG.parsed.txt:14
Poznaie,1,False,0069.JPG.parsed.txt:12
Praetereaque,1,False,0055.JPG.parsed.txt:10
Praetinen,1,False,0057.JPG.parsed.txt:6
Primam,1,False,0056.JPG.parsed.txt:13
Priori,1,False,0057.JPG.parsed.txt:26
Probum,1,False,0053.JPG.parsed.txt:2
Procuratorem,1,False,0061.JPG.parsed.txt:15
Proptereaque,1,False,0058.JPG.parsed.txt:19
Proszony,1,True,0066.JPG.parsed.txt:2
Protestatio,2,False,0064.JPG.parsed.txt:15; 0064.JPG.parsed.txt:37
Protocolo,1,False,0059.JPG.parsed.txt:19
Protunc,1,False,0059.JPG.parsed.txt:9
Providum,1,False,0061.JPG.parsed.txt:37
Prsecivko,1,False,0060.JPG.parsed.txt:29
Przescie,1,True,0069.JPG.parsed.txt:39
Przezdziecki,1,True,0003.JPG.parsed.txt:14
Przełożonemu,1,True,0066.JPG.parsed.txt:8
Przełożony,1,True,0066.JPG.parsed.txt:10
Przyiaciele,2,True,0006.JPG.parsed.txt:5; 0006.JPG.parsed.txt:7
Ptasz,1,True,0053.JPG.parsed.txt:5
Pulstrysziczo,1,True,0069.JPG.parsed.txt:22
RESIDENTIBUS,1,False,0003.JPG.parsed.txt:8
Radziec,1,True,0006.JPG.parsed.txt:10
Recessus,1,False,0068.JPG.parsed.txt:14
Regati,1,False,0066.JPG.parsed.txt:19
Relatio,1,False,0059.JPG.parsed.txt:1
Religiosi,2,False,0061.JPG.parsed.txt:34; 0063.JPG.parsed.txt:29
Religiosus,1,False,0061.JPG.parsed.txt:26
Requisiti,1,False,0066.JPG.parsed.txt:27
Rottendorff,2,False,0050.JPG.parsed.txt:17; 0068.JPG.parsed.txt:30
Ruthenorum,1,False,0049.JPG.parsed.txt:18
SCABINALIA,1,False,0004.JPG.parsed.txt:1
SENIORIS,1,False,0004.JPG.parsed.txt:6
Sabriczowska,1,True,0049.JPG.parsed.txt:19
Saepedic,1,False,0058.JPG.parsed.txt:26
Salvo,1,False,0057.JPG.parsed.txt:25
Sambili,1,False,0059.JPG.parsed.txt:34
Sanctorum,1,False,0006.JPG.parsed.txt:16
Sanestatis,1,False,0061.JPG.parsed.txt:8
Sapiha,1,False,0005.JPG.parsed.txt:11
Sartoris,1,False,0052.JPG.parsed.txt:7
Sartorum,1,False,0068.JPG.parsed.txt:38
Sawinski,2,False,0053.JPG.parsed.txt:23; 0053.JPG.parsed.txt:24
Schreiber,1,False,0057.JPG.parsed.txt:33
Sczibor,1,True,0059.JPG.parsed.txt:5
Sebastiano,1,False,0054.JPG.parsed.txt:33
Sebauranowicz,1,True,0006.JPG.parsed.txt:18
Senatus,1,False,0061.JPG.parsed.txt:2
Seniore,1,False,0003.JPG.parsed.txt:9
Seniorem,1,False,0058.JPG.parsed.txt:28
Septembris,1,False,0054.JPG.parsed.txt:36
Septuagesimo,1,False,0060.JPG.parsed.txt:18
Sienienski,2,False,0006.JPG.parsed.txt:34; 0006.JPG.parsed.txt:38
Sigismundi,1,False,0052.JPG.parsed.txt:26
Simone,2,False,0003.JPG.parsed.txt:9; 0003.JPG.parsed.txt:10
Simonem,1,False,0064.JPG.parsed.txt:22
Simonis,2,False,0067.JPG.parsed.txt:3; 0067.JPG.parsed.txt:12
Simonowa,2,False,0067.JPG.parsed.txt:5; 0067.JPG.parsed.txt:12
Simonowic,2,False,0005.JPG.parsed.txt:7; 0068.JPG.parsed.txt:29
Simonowicz,2,True,0006.JPG.parsed.txt:15; 0067.JPG.parsed.txt:4
Skarbek,1,False,0061.JPG.parsed.txt:23
Sklepik,1,False,0069.JPG.parsed.txt:29
Skorka,1,False,0052.JPG.parsed.txt:7
Skrtawic,1,False,0055.JPG.parsed.txt:35
Smiatynin,1,False,0065.JPG.parsed.txt:5
Sniatinensi,1,False,0056.JPG.parsed.txt:38
Sniatynen,2,False,0065.JPG.parsed.txt:7; 0066.JPG.parsed.txt:22
Sniatynensis,1,False,0066.JPG.parsed.txt:19
Sniatynskiego,1,False,0065.JPG.parsed.txt:23
Sniatynskim,1,False,0065.JPG.parsed.txt:21
Sokaliensi,1,False,0056.JPG.parsed.txt:38
Sokol,1,False,0068.JPG.parsed.txt:30
Spectabilis,2,False,0057.JPG.parsed.txt:39; 0063.JPG.parsed.txt:28
Spiritus,2,False,0067.JPG.parsed.txt:28; 0068.JPG.parsed.txt:38
Stanawszy,1,True,0065.JPG.parsed.txt:24
Stanąwszy,1,True,0066.JPG.parsed.txt:1
Starogardiensi,1,False,0054.JPG.parsed.txt:34
Stein,2,False,0057.JPG.parsed.txt:14; 0057.JPG.parsed.txt:34
Steinfestes,1,False,0057.JPG.parsed.txt:38
Stephy,1,False,0066.JPG.parsed.txt:15
Suburba,1,False,0051.JPG.parsed.txt:18
Suburbani,1,False,0007.JPG.parsed.txt:24
Suburbano,2,False,0007.JPG.parsed.txt:31; 0051.JPG.parsed.txt:22
Succores,2,False,0068.JPG.parsed.txt:5; 0068.JPG.parsed.txt:5
Succres,1,False,0052.JPG.parsed.txt:23
Superiorum,2,False,0062.JPG.parsed.txt:29; 0063.JPG.parsed.txt:11
Swiadczemy,1,True,0066.JPG.parsed.txt:1
Swiartski,1,False,0059.JPG.parsed.txt:13
Synac,1,False,0051.JPG.parsed.txt:14
Szambor,1,True,0003.JPG.parsed.txt:11
Szanc,1,True,0053.JPG.parsed.txt:1
Szaphata,1,True,0060.JPG.parsed.txt:12
Szeynowską,1,True,0060.JPG.parsed.txt:27
Szlot,1,True,0059.JPG.parsed.txt:12
Szpalinska,1,True,0056.JPG.parsed.txt:35
Szsolc,1,True,0056.JPG.parsed.txt:4
Szurwiczki,1,True,0051.JPG.parsed.txt:14
Szwidros,1,True,0051.JPG.parsed.txt:18
Tariem,1,False,0069.JPG.parsed.txt:29
Tarnopole,1,False,0007.JPG.parsed.txt:2
Tarnopoli,1,False,0007.JPG.parsed.txt:10
Tarnopoliensi,1,False,0007.JPG.parsed.txt:11
Tatarzy,1,True,0066.JPG.parsed.txt:32
Tatkowska,1,False,0059.JPG.parsed.txt:28
Tenutariis,1,False,0049.JPG.parsed.txt:22
Terendarius,1,False,0068.JPG.parsed.txt:9
Tomaszewic,1,True,0067.JPG.parsed.txt:12
Torneator,1,False,0068.JPG.parsed.txt:26
Torneatoris,1,False,0068.JPG.parsed.txt:33
Triennien,1,False,0065.JPG.parsed.txt:5
Trompetae,1,False,0059.JPG.parsed.txt:27
Trompetas,1,False,0059.JPG.parsed.txt:5
Tutela,2,False,0051.JPG.parsed.txt:14; 0062.JPG.parsed.txt:18
Urzedem,1,True,0005.JPG.parsed.txt:28
Urzędem,1,True,0065.JPG.parsed.txt:24
Valentini,1,False,0052.JPG.parsed.txt:7
Venerandi,1,False,0061.JPG.parsed.txt:33
Vicario,2,False,0059.JPG.parsed.txt:14; 0059.JPG.parsed.txt:35
Vicecapitanei,1,False,0065.JPG.parsed.txt:7
Videlicet,2,False,0049.JPG.parsed.txt:6; 0050.JPG.parsed.txt:21
Wadowic,1,False,0057.JPG.parsed.txt:16
Wałszkanczowska,1,True,0053.JPG.parsed.txt:8
Wilczkibus,1,True,0066.JPG.parsed.txt:39
Wilczkiem,2,True,0065.JPG.parsed.txt:33; 0065.JPG.parsed.txt:36
Wloszek,1,True,0051.JPG.parsed.txt:35
Wolffango,1,False,0059.JPG.parsed.txt:33
Wolffangus,1,False,0059.JPG.parsed.txt:3
Wolffgangus,1,False,0051.JPG.parsed.txt:35
Wolfgangus,1,False,0066.JPG.parsed.txt:28
Wolfowicz,1,True,0003.JPG.parsed.txt:14
Wołoch,1,True,0065.JPG.parsed.txt:34
Wołoszyn,1,True,0066.JPG.parsed.txt:33
Wresidowic,1,False,0050.JPG.parsed.txt:8
Wyganski,1,False,0007.JPG.parsed.txt:23
Xiądz,1,True,0064.JPG.parsed.txt:4
Xięgi,1,True,0065.JPG.parsed.txt:37
Xiężę,1,True,0064.JPG.parsed.txt:5
Xsiędzu,1,True,0064.JPG.parsed.txt:11
Zamoscensi,1,False,0049.JPG.parsed.txt:8
Zaremba,1,False,0062.JPG.parsed.txt:30
Zawiazie,1,False,0065.JPG.parsed.txt:34
Zdrowia,1,False,0005.JPG.parsed.txt:27
Zeloti,1,False,0057.JPG.parsed.txt:39
Zemboterium,1,False,0063.JPG.parsed.txt:19
Zialussouiensi,1,False,0053.JPG.parsed.txt:6
Ziemie,1,False,0066.JPG.parsed.txt:1
Zoffiey,1,False,0006.JPG.parsed.txt:14
Zophiey,1,False,0005.JPG.parsed.txt:31
Zydaczovien,1,True,0052.JPG.parsed.txt:27
Zygmuntowic,1,False,0056.JPG.parsed.txt:30
Zygmuntowicz,1,True,0056.JPG.parsed.txt:32
abbcessum,1,False,0057.JPG.parsed.txt:3
absente,1,False,0064.JPG.parsed.txt:35
absentium,1,False,0005.JPG.parsed.txt:12
absolutam,1,False,0055.JPG.parsed.txt:9
absolutum,2,False,0053.JPG.parsed.txt:32; 0067.JPG.parsed.txt:35
abym,1,False,0064.JPG.parsed.txt:5
accersitis,1,False,0059.JPG.parsed.txt:32
acquisitionis,1,False,0056.JPG.parsed.txt:7
acquisitis,1,False,0060.JPG.parsed.txt:2
actores,1,False,0068.JPG.parsed.txt:12
actualiter,1,False,0054.JPG.parsed.txt:32
additares,1,False,0064.JPG.parsed.txt:2
adducta,1,False,0060.JPG.parsed.txt:11
adductus,1,False,0061.JPG.parsed.txt:7
adhaerendo,1,False,0062.JPG.parsed.txt:27
adhaesit,1,False,0060.JPG.parsed.txt:7
adhiberi,1,False,0049.JPG.parsed.txt:22
adimere,1,False,0049.JPG.parsed.txt:26
adirent,1,False,0005.JPG.parsed.txt:18
adminiculis,1,False,0056.JPG.parsed.txt:24
adminiculo,2,False,0049.JPG.parsed.txt:21; 0057.JPG.parsed.txt:19
administretur,1,False,0006.JPG.parsed.txt:27
